date,product_id,product_name,category,unit_price,quantity_sold,revenue,month,day_of_week
2025-01-09,P002,Valve socket 1/2,Plumbing,40,28,1120,1,3
2025-01-09,O001,Caltex 20W50,Oil,1200,9,10800,1,3
2025-01-10,E001,13A Plug base (ACL),Electrical,650,6,3900,1,4
2025-01-10,E002,1 GANG Switch (KEVILTON),Electrical,320,15,4800,1,4
2025-01-10,E003,LED 9W pin (GREEN),Electrical,575,15,8625,1,4
2025-01-10,E004,MCB enclosure 18 way,Electrical,2800,1,2800,1,4
2025-01-10,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,2,660,1,4
2025-01-10,P002,Valve socket 1/2,Plumbing,40,18,720,1,4
2025-01-10,P003,Elbow socket 1/2,Plumbing,40,31,1240,1,4
2025-01-10,O001,Caltex 20W50,Oil,1200,4,4800,1,4
2025-01-11,E002,1 GANG Switch (KEVILTON),Electrical,320,22,7040,1,5
2025-01-11,E003,LED 9W pin (GREEN),Electrical,575,20,11500,1,5
2025-01-11,E004,MCB enclosure 18 way,Electrical,2800,2,5600,1,5
2025-01-11,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,10,3300,1,5
2025-01-11,P002,Valve socket 1/2,Plumbing,40,10,400,1,5
2025-01-11,P003,Elbow socket 1/2,Plumbing,40,11,440,1,5
2025-01-11,O001,Caltex 20W50,Oil,1200,1,1200,1,5
2025-01-12,E001,13A Plug base (ACL),Electrical,650,8,5200,1,6
2025-01-12,E002,1 GANG Switch (KEVILTON),Electrical,320,30,9600,1,6
2025-01-12,E003,LED 9W pin (GREEN),Electrical,575,22,12650,1,6
2025-01-12,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,8,2640,1,6
2025-01-12,P002,Valve socket 1/2,Plumbing,40,21,840,1,6
2025-01-12,O001,Caltex 20W50,Oil,1200,8,9600,1,6
2025-01-13,E001,13A Plug base (ACL),Electrical,650,20,13000,1,0
2025-01-13,E002,1 GANG Switch (KEVILTON),Electrical,320,20,6400,1,0
2025-01-13,E003,LED 9W pin (GREEN),Electrical,575,29,16675,1,0
2025-01-13,E004,MCB enclosure 18 way,Electrical,2800,2,5600,1,0
2025-01-13,P002,Valve socket 1/2,Plumbing,40,6,240,1,0
2025-01-13,P003,Elbow socket 1/2,Plumbing,40,30,1200,1,0
2025-01-13,O001,Caltex 20W50,Oil,1200,10,12000,1,0
2025-01-14,E001,13A Plug base (ACL),Electrical,650,21,13650,1,1
2025-01-14,E002,1 GANG Switch (KEVILTON),Electrical,320,8,2560,1,1
2025-01-14,E003,LED 9W pin (GREEN),Electrical,575,10,5750,1,1
2025-01-14,E004,MCB enclosure 18 way,Electrical,2800,1,2800,1,1
2025-01-14,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,1,330,1,1
2025-01-14,P003,Elbow socket 1/2,Plumbing,40,6,240,1,1
2025-01-14,O001,Caltex 20W50,Oil,1200,10,12000,1,1
2025-01-15,E002,1 GANG Switch (KEVILTON),Electrical,320,20,6400,1,2
2025-01-15,E003,LED 9W pin (GREEN),Electrical,575,21,12075,1,2
2025-01-15,P002,Valve socket 1/2,Plumbing,40,21,840,1,2
2025-01-15,P003,Elbow socket 1/2,Plumbing,40,26,1040,1,2
2025-01-15,O001,Caltex 20W50,Oil,1200,9,10800,1,2
2025-01-16,E001,13A Plug base (ACL),Electrical,650,24,15600,1,3
2025-01-16,E002,1 GANG Switch (KEVILTON),Electrical,320,14,4480,1,3
2025-01-16,E003,LED 9W pin (GREEN),Electrical,575,25,14375,1,3
2025-01-16,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,1,330,1,3
2025-01-16,P002,Valve socket 1/2,Plumbing,40,6,240,1,3
2025-01-16,O001,Caltex 20W50,Oil,1200,4,4800,1,3
2025-01-17,E001,13A Plug base (ACL),Electrical,650,16,10400,1,4
2025-01-17,E002,1 GANG Switch (KEVILTON),Electrical,320,9,2880,1,4
2025-01-17,E003,LED 9W pin (GREEN),Electrical,575,24,13800,1,4
2025-01-17,E004,MCB enclosure 18 way,Electrical,2800,2,5600,1,4
2025-01-17,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,4,1320,1,4
2025-01-17,P002,Valve socket 1/2,Plumbing,40,10,400,1,4
2025-01-17,P003,Elbow socket 1/2,Plumbing,40,14,560,1,4
2025-01-17,O001,Caltex 20W50,Oil,1200,6,7200,1,4
2025-01-18,E001,13A Plug base (ACL),Electrical,650,21,13650,1,5
2025-01-18,E002,1 GANG Switch (KEVILTON),Electrical,320,16,5120,1,5
2025-01-18,E003,LED 9W pin (GREEN),Electrical,575,25,14375,1,5
2025-01-18,E004,MCB enclosure 18 way,Electrical,2800,2,5600,1,5
2025-01-18,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,6,1980,1,5
2025-01-18,P003,Elbow socket 1/2,Plumbing,40,16,640,1,5
2025-01-18,O001,Caltex 20W50,Oil,1200,1,1200,1,5
2025-01-19,E001,13A Plug base (ACL),Electrical,650,20,13000,1,6
2025-01-19,E003,LED 9W pin (GREEN),Electrical,575,25,14375,1,6
2025-01-19,E004,MCB enclosure 18 way,Electrical,2800,2,5600,1,6
2025-01-19,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,9,2970,1,6
2025-01-19,P002,Valve socket 1/2,Plumbing,40,9,360,1,6
2025-01-19,P003,Elbow socket 1/2,Plumbing,40,18,720,1,6
2025-01-19,O001,Caltex 20W50,Oil,1200,10,12000,1,6
2025-01-20,E002,1 GANG Switch (KEVILTON),Electrical,320,8,2560,1,0
2025-01-20,E003,LED 9W pin (GREEN),Electrical,575,31,17825,1,0
2025-01-20,E004,MCB enclosure 18 way,Electrical,2800,2,5600,1,0
2025-01-20,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,9,2970,1,0
2025-01-20,P003,Elbow socket 1/2,Plumbing,40,25,1000,1,0
2025-01-20,O001,Caltex 20W50,Oil,1200,1,1200,1,0
2025-01-21,E001,13A Plug base (ACL),Electrical,650,12,7800,1,1
2025-01-21,E003,LED 9W pin (GREEN),Electrical,575,10,5750,1,1
2025-01-21,E004,MCB enclosure 18 way,Electrical,2800,2,5600,1,1
2025-01-21,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,4,1320,1,1
2025-01-21,P002,Valve socket 1/2,Plumbing,40,29,1160,1,1
2025-01-21,P003,Elbow socket 1/2,Plumbing,40,26,1040,1,1
2025-01-21,O001,Caltex 20W50,Oil,1200,10,12000,1,1
2025-01-22,E001,13A Plug base (ACL),Electrical,650,18,11700,1,2
2025-01-22,E002,1 GANG Switch (KEVILTON),Electrical,320,29,9280,1,2
2025-01-22,E003,LED 9W pin (GREEN),Electrical,575,26,14950,1,2
2025-01-22,E004,MCB enclosure 18 way,Electrical,2800,1,2800,1,2
2025-01-22,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,1,330,1,2
2025-01-22,P002,Valve socket 1/2,Plumbing,40,26,1040,1,2
2025-01-22,P003,Elbow socket 1/2,Plumbing,40,29,1160,1,2
2025-01-22,O001,Caltex 20W50,Oil,1200,9,10800,1,2
2025-01-23,E001,13A Plug base (ACL),Electrical,650,6,3900,1,3
2025-01-23,E002,1 GANG Switch (KEVILTON),Electrical,320,19,6080,1,3
2025-01-23,E003,LED 9W pin (GREEN),Electrical,575,15,8625,1,3
2025-01-23,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,8,2640,1,3
2025-01-23,P002,Valve socket 1/2,Plumbing,40,10,400,1,3
2025-01-23,O001,Caltex 20W50,Oil,1200,9,10800,1,3
2025-01-24,E001,13A Plug base (ACL),Electrical,650,12,7800,1,4
2025-01-24,E002,1 GANG Switch (KEVILTON),Electrical,320,29,9280,1,4
2025-01-24,E003,LED 9W pin (GREEN),Electrical,575,18,10350,1,4
2025-01-24,E004,MCB enclosure 18 way,Electrical,2800,2,5600,1,4
2025-01-24,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,10,3300,1,4
2025-01-24,P002,Valve socket 1/2,Plumbing,40,21,840,1,4
2025-01-24,P003,Elbow socket 1/2,Plumbing,40,10,400,1,4
2025-01-24,O001,Caltex 20W50,Oil,1200,9,10800,1,4
2025-01-25,E001,13A Plug base (ACL),Electrical,650,28,18200,1,5
2025-01-25,E002,1 GANG Switch (KEVILTON),Electrical,320,30,9600,1,5
2025-01-25,E003,LED 9W pin (GREEN),Electrical,575,6,3450,1,5
2025-01-25,P002,Valve socket 1/2,Plumbing,40,18,720,1,5
2025-01-25,P003,Elbow socket 1/2,Plumbing,40,20,800,1,5
2025-01-25,O001,Caltex 20W50,Oil,1200,4,4800,1,5
2025-01-26,E001,13A Plug base (ACL),Electrical,650,25,16250,1,6
2025-01-26,E002,1 GANG Switch (KEVILTON),Electrical,320,12,3840,1,6
2025-01-26,E003,LED 9W pin (GREEN),Electrical,575,22,12650,1,6
2025-01-26,E004,MCB enclosure 18 way,Electrical,2800,2,5600,1,6
2025-01-26,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,6,1980,1,6
2025-01-26,P003,Elbow socket 1/2,Plumbing,40,11,440,1,6
2025-01-26,O001,Caltex 20W50,Oil,1200,5,6000,1,6
2025-01-27,E001,13A Plug base (ACL),Electrical,650,8,5200,1,0
2025-01-27,E002,1 GANG Switch (KEVILTON),Electrical,320,22,7040,1,0
2025-01-27,E003,LED 9W pin (GREEN),Electrical,575,10,5750,1,0
2025-01-27,E004,MCB enclosure 18 way,Electrical,2800,1,2800,1,0
2025-01-27,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,4,1320,1,0
2025-01-27,P002,Valve socket 1/2,Plumbing,40,15,600,1,0
2025-01-27,P003,Elbow socket 1/2,Plumbing,40,12,480,1,0
2025-01-27,O001,Caltex 20W50,Oil,1200,8,9600,1,0
2025-01-28,E001,13A Plug base (ACL),Electrical,650,10,6500,1,1
2025-01-28,E002,1 GANG Switch (KEVILTON),Electrical,320,19,6080,1,1
2025-01-28,E003,LED 9W pin (GREEN),Electrical,575,28,16100,1,1
2025-01-28,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,6,1980,1,1
2025-01-28,P002,Valve socket 1/2,Plumbing,40,10,400,1,1
2025-01-28,O001,Caltex 20W50,Oil,1200,8,9600,1,1
2025-01-29,E001,13A Plug base (ACL),Electrical,650,28,18200,1,2
2025-01-29,E002,1 GANG Switch (KEVILTON),Electrical,320,25,8000,1,2
2025-01-29,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,1,330,1,2
2025-01-29,P002,Valve socket 1/2,Plumbing,40,25,1000,1,2
2025-01-29,P003,Elbow socket 1/2,Plumbing,40,28,1120,1,2
2025-01-29,O001,Caltex 20W50,Oil,1200,9,10800,1,2
2025-01-30,E001,13A Plug base (ACL),Electrical,650,20,13000,1,3
2025-01-30,E002,1 GANG Switch (KEVILTON),Electrical,320,29,9280,1,3
2025-01-30,E003,LED 9W pin (GREEN),Electrical,575,25,14375,1,3
2025-01-30,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,6,1980,1,3
2025-01-30,P002,Valve socket 1/2,Plumbing,40,24,960,1,3
2025-01-30,O001,Caltex 20W50,Oil,1200,9,10800,1,3
2025-01-31,E001,13A Plug base (ACL),Electrical,650,24,15600,1,4
2025-01-31,E002,1 GANG Switch (KEVILTON),Electrical,320,16,5120,1,4
2025-01-31,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,2,660,1,4
2025-01-31,P003,Elbow socket 1/2,Plumbing,40,21,840,1,4
2025-01-31,O001,Caltex 20W50,Oil,1200,9,10800,1,4
2025-02-01,E001,13A Plug base (ACL),Electrical,650,14,9100,2,5
2025-02-01,E003,LED 9W pin (GREEN),Electrical,575,8,4600,2,5
2025-02-01,E004,MCB enclosure 18 way,Electrical,2800,2,5600,2,5
2025-02-01,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,4,1320,2,5
2025-02-01,P002,Valve socket 1/2,Plumbing,40,12,480,2,5
2025-02-01,P003,Elbow socket 1/2,Plumbing,40,22,880,2,5
2025-02-01,O001,Caltex 20W50,Oil,1200,1,1200,2,5
2025-02-02,E001,13A Plug base (ACL),Electrical,650,23,14950,2,6
2025-02-02,E002,1 GANG Switch (KEVILTON),Electrical,320,11,3520,2,6
2025-02-02,E003,LED 9W pin (GREEN),Electrical,575,13,7475,2,6
2025-02-02,E004,MCB enclosure 18 way,Electrical,2800,2,5600,2,6
2025-02-02,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,7,2310,2,6
2025-02-02,P003,Elbow socket 1/2,Plumbing,40,25,1000,2,6
2025-02-02,O001,Caltex 20W50,Oil,1200,4,4800,2,6
2025-02-03,E002,1 GANG Switch (KEVILTON),Electrical,320,6,1920,2,0
2025-02-03,E003,LED 9W pin (GREEN),Electrical,575,8,4600,2,0
2025-02-03,E004,MCB enclosure 18 way,Electrical,2800,1,2800,2,0
2025-02-03,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,8,2640,2,0
2025-02-03,P002,Valve socket 1/2,Plumbing,40,5,200,2,0
2025-02-03,P003,Elbow socket 1/2,Plumbing,40,14,560,2,0
2025-02-03,O001,Caltex 20W50,Oil,1200,7,8400,2,0
2025-02-04,E001,13A Plug base (ACL),Electrical,650,7,4550,2,1
2025-02-04,E002,1 GANG Switch (KEVILTON),Electrical,320,10,3200,2,1
2025-02-04,E004,MCB enclosure 18 way,Electrical,2800,1,2800,2,1
2025-02-04,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,6,1980,2,1
2025-02-04,P002,Valve socket 1/2,Plumbing,40,8,320,2,1
2025-02-04,P003,Elbow socket 1/2,Plumbing,40,7,280,2,1
2025-02-04,O001,Caltex 20W50,Oil,1200,3,3600,2,1
2025-02-05,E002,1 GANG Switch (KEVILTON),Electrical,320,10,3200,2,2
2025-02-05,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,3,990,2,2
2025-02-05,P002,Valve socket 1/2,Plumbing,40,15,600,2,2
2025-02-05,P003,Elbow socket 1/2,Plumbing,40,19,760,2,2
2025-02-05,O001,Caltex 20W50,Oil,1200,7,8400,2,2
2025-02-06,E002,1 GANG Switch (KEVILTON),Electrical,320,19,6080,2,3
2025-02-06,E003,LED 9W pin (GREEN),Electrical,575,18,10350,2,3
2025-02-06,E004,MCB enclosure 18 way,Electrical,2800,2,5600,2,3
2025-02-06,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,7,2310,2,3
2025-02-06,P002,Valve socket 1/2,Plumbing,40,20,800,2,3
2025-02-06,P003,Elbow socket 1/2,Plumbing,40,18,720,2,3
2025-02-06,O001,Caltex 20W50,Oil,1200,4,4800,2,3
2025-02-07,E003,LED 9W pin (GREEN),Electrical,575,18,10350,2,4
2025-02-07,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,7,2310,2,4
2025-02-07,P002,Valve socket 1/2,Plumbing,40,12,480,2,4
2025-02-07,P003,Elbow socket 1/2,Plumbing,40,13,520,2,4
2025-02-07,O001,Caltex 20W50,Oil,1200,4,4800,2,4
2025-02-08,E001,13A Plug base (ACL),Electrical,650,14,9100,2,5
2025-02-08,E003,LED 9W pin (GREEN),Electrical,575,23,13225,2,5
2025-02-08,E004,MCB enclosure 18 way,Electrical,2800,1,2800,2,5
2025-02-08,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,1,330,2,5
2025-02-08,P002,Valve socket 1/2,Plumbing,40,13,520,2,5
2025-02-08,P003,Elbow socket 1/2,Plumbing,40,22,880,2,5
2025-02-08,O001,Caltex 20W50,Oil,1200,8,9600,2,5
2025-02-09,E001,13A Plug base (ACL),Electrical,650,24,15600,2,6
2025-02-09,E003,LED 9W pin (GREEN),Electrical,575,21,12075,2,6
2025-02-09,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,1,330,2,6
2025-02-09,P002,Valve socket 1/2,Plumbing,40,16,640,2,6
2025-02-09,P003,Elbow socket 1/2,Plumbing,40,23,920,2,6
2025-02-10,E001,13A Plug base (ACL),Electrical,650,18,11700,2,0
2025-02-10,E002,1 GANG Switch (KEVILTON),Electrical,320,12,3840,2,0
2025-02-10,E003,LED 9W pin (GREEN),Electrical,575,9,5175,2,0
2025-02-10,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,1,330,2,0
2025-02-10,P002,Valve socket 1/2,Plumbing,40,9,360,2,0
2025-02-10,P003,Elbow socket 1/2,Plumbing,40,12,480,2,0
2025-02-10,O001,Caltex 20W50,Oil,1200,3,3600,2,0
2025-02-11,E001,13A Plug base (ACL),Electrical,650,11,7150,2,1
2025-02-11,E002,1 GANG Switch (KEVILTON),Electrical,320,22,7040,2,1
2025-02-11,E003,LED 9W pin (GREEN),Electrical,575,5,2875,2,1
2025-02-11,P002,Valve socket 1/2,Plumbing,40,14,560,2,1
2025-02-11,P003,Elbow socket 1/2,Plumbing,40,7,280,2,1
2025-02-12,E001,13A Plug base (ACL),Electrical,650,9,5850,2,2
2025-02-12,E002,1 GANG Switch (KEVILTON),Electrical,320,15,4800,2,2
2025-02-12,E003,LED 9W pin (GREEN),Electrical,575,8,4600,2,2
2025-02-12,E004,MCB enclosure 18 way,Electrical,2800,1,2800,2,2
2025-02-12,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,7,2310,2,2
2025-02-12,O001,Caltex 20W50,Oil,1200,5,6000,2,2
2025-02-13,E001,13A Plug base (ACL),Electrical,650,23,14950,2,3
2025-02-13,E002,1 GANG Switch (KEVILTON),Electrical,320,5,1600,2,3
2025-02-13,E003,LED 9W pin (GREEN),Electrical,575,9,5175,2,3
2025-02-13,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,6,1980,2,3
2025-02-13,P002,Valve socket 1/2,Plumbing,40,19,760,2,3
2025-02-13,P003,Elbow socket 1/2,Plumbing,40,13,520,2,3
2025-02-13,O001,Caltex 20W50,Oil,1200,1,1200,2,3
2025-02-14,E001,13A Plug base (ACL),Electrical,650,7,4550,2,4
2025-02-14,E003,LED 9W pin (GREEN),Electrical,575,15,8625,2,4
2025-02-14,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,7,2310,2,4
2025-02-14,P002,Valve socket 1/2,Plumbing,40,14,560,2,4
2025-02-14,P003,Elbow socket 1/2,Plumbing,40,19,760,2,4
2025-02-14,O001,Caltex 20W50,Oil,1200,6,7200,2,4
2025-02-15,E001,13A Plug base (ACL),Electrical,650,9,5850,2,5
2025-02-15,E002,1 GANG Switch (KEVILTON),Electrical,320,17,5440,2,5
2025-02-15,E004,MCB enclosure 18 way,Electrical,2800,1,2800,2,5
2025-02-15,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,2,660,2,5
2025-02-15,P002,Valve socket 1/2,Plumbing,40,20,800,2,5
2025-02-15,P003,Elbow socket 1/2,Plumbing,40,9,360,2,5
2025-02-15,O001,Caltex 20W50,Oil,1200,6,7200,2,5
2025-02-16,E001,13A Plug base (ACL),Electrical,650,16,10400,2,6
2025-02-16,E002,1 GANG Switch (KEVILTON),Electrical,320,22,7040,2,6
2025-02-16,E003,LED 9W pin (GREEN),Electrical,575,20,11500,2,6
2025-02-16,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,2,660,2,6
2025-02-16,P002,Valve socket 1/2,Plumbing,40,9,360,2,6
2025-02-16,P003,Elbow socket 1/2,Plumbing,40,18,720,2,6
2025-02-16,O001,Caltex 20W50,Oil,1200,8,9600,2,6
2025-02-17,E001,13A Plug base (ACL),Electrical,650,8,5200,2,0
2025-02-17,E002,1 GANG Switch (KEVILTON),Electrical,320,25,8000,2,0
2025-02-17,E003,LED 9W pin (GREEN),Electrical,575,24,13800,2,0
2025-02-17,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,4,1320,2,0
2025-02-17,P002,Valve socket 1/2,Plumbing,40,19,760,2,0
2025-02-17,P003,Elbow socket 1/2,Plumbing,40,15,600,2,0
2025-02-17,O001,Caltex 20W50,Oil,1200,6,7200,2,0
2025-02-18,E001,13A Plug base (ACL),Electrical,650,23,14950,2,1
2025-02-18,E002,1 GANG Switch (KEVILTON),Electrical,320,24,7680,2,1
2025-02-18,E003,LED 9W pin (GREEN),Electrical,575,11,6325,2,1
2025-02-18,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,3,990,2,1
2025-02-18,P002,Valve socket 1/2,Plumbing,40,14,560,2,1
2025-02-18,P003,Elbow socket 1/2,Plumbing,40,17,680,2,1
2025-02-18,O001,Caltex 20W50,Oil,1200,4,4800,2,1
2025-02-19,E001,13A Plug base (ACL),Electrical,650,13,8450,2,2
2025-02-19,E002,1 GANG Switch (KEVILTON),Electrical,320,20,6400,2,2
2025-02-19,E003,LED 9W pin (GREEN),Electrical,575,24,13800,2,2
2025-02-19,E004,MCB enclosure 18 way,Electrical,2800,1,2800,2,2
2025-02-19,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,1,330,2,2
2025-02-19,P002,Valve socket 1/2,Plumbing,40,13,520,2,2
2025-02-19,P003,Elbow socket 1/2,Plumbing,40,23,920,2,2
2025-02-19,O001,Caltex 20W50,Oil,1200,4,4800,2,2
2025-02-20,E001,13A Plug base (ACL),Electrical,650,12,7800,2,3
2025-02-20,E002,1 GANG Switch (KEVILTON),Electrical,320,16,5120,2,3
2025-02-20,E003,LED 9W pin (GREEN),Electrical,575,7,4025,2,3
2025-02-20,E004,MCB enclosure 18 way,Electrical,2800,2,5600,2,3
2025-02-20,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,4,1320,2,3
2025-02-20,P002,Valve socket 1/2,Plumbing,40,17,680,2,3
2025-02-20,O001,Caltex 20W50,Oil,1200,2,2400,2,3
2025-02-21,E001,13A Plug base (ACL),Electrical,650,19,12350,2,4
2025-02-21,E002,1 GANG Switch (KEVILTON),Electrical,320,25,8000,2,4
2025-02-21,E003,LED 9W pin (GREEN),Electrical,575,15,8625,2,4
2025-02-21,E004,MCB enclosure 18 way,Electrical,2800,1,2800,2,4
2025-02-21,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,7,2310,2,4
2025-02-21,P002,Valve socket 1/2,Plumbing,40,11,440,2,4
2025-02-21,P003,Elbow socket 1/2,Plumbing,40,18,720,2,4
2025-02-21,O001,Caltex 20W50,Oil,1200,5,6000,2,4
2025-02-22,E001,13A Plug base (ACL),Electrical,650,11,7150,2,5
2025-02-22,E002,1 GANG Switch (KEVILTON),Electrical,320,19,6080,2,5
2025-02-22,E003,LED 9W pin (GREEN),Electrical,575,8,4600,2,5
2025-02-22,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,6,1980,2,5
2025-02-22,P002,Valve socket 1/2,Plumbing,40,8,320,2,5
2025-02-22,P003,Elbow socket 1/2,Plumbing,40,15,600,2,5
2025-02-22,O001,Caltex 20W50,Oil,1200,3,3600,2,5
2025-02-23,E001,13A Plug base (ACL),Electrical,650,11,7150,2,6
2025-02-23,E002,1 GANG Switch (KEVILTON),Electrical,320,8,2560,2,6
2025-02-23,E003,LED 9W pin (GREEN),Electrical,575,7,4025,2,6
2025-02-23,P001,PVC pipe 1/2 (ARPICO),Plumbing,330,2,660,2,6
2025-02-23,P002,Valve socket 1/2,Plumbing,40,10,400,2,6
2025-02-23,P003,Elbow socket 1/2,Plumbing,40,23,920,2,6
2025-02-23,O001,Caltex 20W50,Oil,1200,4,4800,2,6
2025-02-24,E001,13A Plug base (ACL),Electrical,650,16,10400,2,0
